Year,Date,City,Nonfatal_Fatal,Age,Age_Category,Sex,Water_Body,County,Timecat,Time,Victim_Activity,Gator_Fed,Dog_Present,Body_Part_Bitten,Injury_Severity_LowMedHigh,GatorLength_MeasuredOrEst,Length_Feet,Length_Inches,Weight_Lbs,Gator_Sex,GatorObserved_PriorToBite,GatorObserved_DuringBite,VictimStateResidence,AlcoholOrDrugs
1998,22-Nov-98,Deltona,N,9,C,M,Sweetgum Lake,Volusia,Aft,1500,Wading,N,N,leg,M,M,3,7,,,N,Y,Florida,
1999,12-Apr-99,Yeehaw Junction,N,24,A,M,Blanket Bay Bridge,Osceola,Mor,800,Landscaping,N,N,Hand,L,E,2,6,,,N,Y,Florida,
1999,26-Apr-99,Temple Terrace,N,21,A,M,Tampa By-Pass Canal,Hillsborough,Aft,1230,Diving,N,N,Head (face),M,M,8,10,275,M,Y,N,Florida,
1999,09-May-99,Floral City,N,12,C,F,Unnamed lake,Citrus,Aft,1500,Boating,Y,N,Foot and swim fin,L,M,3,6,8,F,Y,Y,Florida,
1999,14-May-99,Fruitland,N,12,C,M,Unnamed pond,Putnam,Eve,2030,Walking,Y,N,Leg,L,M,3,4,,,Y,Y,Florida,
1999,15-May-99,Ft. Myers,N,27,A,M,Unnamed pond,Lee,Aft,1630,Wading,N,N,Legs,M,,,,,,N,N,Florida,
1999,17-Jun-99,Kissimmee,N,31,A,M,Unnamed pond,Osceola,Mor,1000,Diving,N,N,Arm and shoulder,L,M,9,5,350,M,N,Y,Florida,
1999,31-Aug-99,Kissimmee,N,45,A,F,Unnamed retention pond,Osceola,Nit,1,Wading,Y,N,Leg,M,M,8,0,180,M,Y,Y,Florida,
1999,04-Sep-99,Zephyrhills,N,39,A,M,Unnamed retention pond,Pasco,Aft,1430,Wading,Y,N,Hand,L,M,3,8,,F,N,Y,Florida,
1999,05-Oct-99,Winter Springs,N,35,A,M,Lake Jesup,Seminole,Eve,1800,Swimming,N,N,Hand,M,E,5,,,,N,Y,Florida,
1999,17-Oct-99,Orlando,N,29,A,M,Unnamed pond,Orange,Eve,1800,Walking,Y,Y,Arm (triceps),M,E,7,,,,Y,Y,Florida,
2000,04-Mar-00,Astor,N,52,A,M,Juniper Creek,Marion,Aft,1330,Wading,N,N,Left foot and left hand,L,M,11,1,450,M,N,Y,Florida,
2000,27-Apr-00,Boca Grande,N,60,A,F,,Charlotte,Mor,930,Walking,N,N,Heel of foot,L,E,2,,,,N,Y,Florida,
